Year,Country,total population
2017-01-01,United States,325700000.0
2016-01-01,United States,323127513.0
2015-01-01,United States,320896618.0
2014-01-01,United States,318563456.0
2013-01-01,United States,316204908.0
2012-01-01,United States,313998379.0
2011-01-01,United States,311663358.0
2010-01-01,United States,309348193.0
2009-01-01,United States,306771529.0
2008-01-01,United States,304093966.0
2007-01-01,United States,301231207.0
2006-01-01,United States,298379912.0
2005-01-01,United States,295516599.0
2004-01-01,United States,292805298.0
2003-01-01,United States,290107933.0
2002-01-01,United States,287625193.0
2001-01-01,United States,284968955.0
2000-01-01,United States,282162411.0
1999-01-01,United States,279040000.0
1998-01-01,United States,275854000.0
1997-01-01,United States,272657000.0
1996-01-01,United States,269394000.0
1995-01-01,United States,266278000.0
1994-01-01,United States,263126000.0
1993-01-01,United States,259919000.0
1992-01-01,United States,256514000.0
1991-01-01,United States,252981000.0
1990-01-01,United States,249623000.0
1989-01-01,United States,246819000.0
1988-01-01,United States,244499000.0
1987-01-01,United States,242289000.0
1986-01-01,United States,240133000.0
1985-01-01,United States,237924000.0
1984-01-01,United States,235825000.0
1983-01-01,United States,233792000.0
1982-01-01,United States,231664000.0
1981-01-01,United States,229466000.0
1980-01-01,United States,227225000.0
1979-01-01,United States,225055000.0
1978-01-01,United States,222585000.0
1977-01-01,United States,220239000.0
1976-01-01,United States,218035000.0
1975-01-01,United States,215973000.0
1974-01-01,United States,213854000.0
1973-01-01,United States,211909000.0
1972-01-01,United States,209896000.0
1971-01-01,United States,207661000.0
1970-01-01,United States,205052000.0
1969-01-01,United States,202677000.0
1968-01-01,United States,200706000.0
1967-01-01,United States,198712000.0
1966-01-01,United States,196560000.0
1965-01-01,United States,194303000.0
1964-01-01,United States,191889000.0
1963-01-01,United States,189242000.0
1962-01-01,United States,186538000.0
1961-01-01,United States,183691000.0
1960-01-01,United States,180671000.0
